"","p-value","Adjusted p-value","Significant (in gene set)","Non-significant (in gene set)","Significant (not in gene set)","Non-significant (not in gene set)","fdr"
"REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS",0.668504437596542,1,1,44,484,19503,1
"REACTOME_SIGNALING_BY_MODERATE_KINASE_ACTIVITY_BRAF_MUTANTS",0.668504437596542,1,1,44,484,19503,1
"REACTOME_RHO_GTPASE_EFFECTORS",0.67203331560629,1,7,317,478,19230,1
"REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT",0.672157446827446,1,5,229,480,19318,1
"REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN",0.676548433582217,1,1,45,484,19502,1
"REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE",0.679111089411875,1,2,94,483,19453,1
"REACTOME_G_ALPHA_S_SIGNALLING_EVENTS",0.681012813860223,1,3,141,482,19406,1
"REACTOME_HIV_TRANSCRIPTION_INITIATION",0.684397628504293,1,1,46,484,19501,1
"REACTOME_INTERLEUKIN_12_SIGNALING",0.684397628504293,1,1,46,484,19501,1
"REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING",0.684397628504293,1,1,46,484,19501,1
"REACTOME_ANTIMICROBIAL_PEPTIDES",0.6846058924049,1,2,95,483,19452,1
"REACTOME_METABOLISM_OF_NUCLEOTIDES",0.690023413963806,1,2,96,483,19451,1
"REACTOME_PROTEIN_FOLDING",0.690023413963806,1,2,96,483,19451,1
"REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION",0.692056730339441,1,1,47,484,19500,1
"REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS",0.692056730339441,1,1,47,484,19500,1
"REACTOME_HEME_SIGNALING",0.692056730339441,1,1,47,484,19500,1
"REACTOME_SLC_TRANSPORTER_DISORDERS",0.695364166674835,1,2,97,483,19450,1
"REACTOME_RECYCLING_PATHWAY_OF_L1",0.699530333511247,1,1,48,484,19499,1
"REACTOME_SIGNALING_BY_NOTCH3",0.699530333511247,1,1,48,484,19499,1
"REACTOME_VISUAL_PHOTOTRANSDUCTION",0.700628683614094,1,2,98,483,19449,1
"REACTOME_CLEC7A_DECTIN_1_SIGNALING",0.700628683614094,1,2,98,483,19449,1
"REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES",0.706822921623494,1,1,49,484,19498,1
"REACTOME_SARS_COV_1_INFECTION",0.706822921623494,1,1,49,484,19498,1
"REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION",0.707376380648009,1,3,147,482,19400,1
"REACTOME_UCH_PROTEINASES",0.710931237252918,1,2,100,483,19447,1
"REACTOME_METABOLISM_OF_CARBOHYDRATES",0.713175373333406,1,6,286,479,19261,1
"REACTOME_DEFENSINS",0.720882448927039,1,1,51,484,19496,1
"REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY",0.720882448927039,1,1,51,484,19496,1
"REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT",0.72400542979993,1,3,151,482,19396,1
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE",0.727657824916548,1,1,52,484,19495,1
"REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC",0.727657824916548,1,1,52,484,19495,1
"REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION",0.730646953771331,1,2,104,483,19443,1
"REACTOME_ION_HOMEOSTASIS",0.734269064463846,1,1,53,484,19494,1
"REACTOME_INTEGRATION_OF_ENERGY_METABOLISM",0.740070087033248,1,2,106,483,19441,1
"REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS",0.7407201358291,1,1,54,484,19493,1
"REACTOME_TRANSCRIPTIONAL_ACTIVATION_OF_MITOCHONDRIAL_BIOGENESIS",0.7407201358291,1,1,54,484,19493,1
"REACTOME_SENSORY_PROCESSING_OF_SOUND_BY_OUTER_HAIR_CELLS_OF_THE_COCHLEA",0.7407201358291,1,1,54,484,19493,1
"REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING",0.744675251905613,1,2,107,483,19440,1
"REACTOME_PROGRAMMED_CELL_DEATH",0.744894297140691,1,4,204,481,19343,1
"REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE",0.747014911527297,1,1,55,484,19492,1
"REACTOME_REGULATED_NECROSIS",0.747014911527297,1,1,55,484,19492,1
"REACTOME_COMPLEMENT_CASCADE",0.753157170633688,1,1,56,484,19491,1
"REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR",0.753157170633688,1,1,56,484,19491,1
"REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING",0.753157170633688,1,1,56,484,19491,1
"REACTOME_MEMBRANE_TRAFFICKING",0.754222048951889,1,13,614,472,18933,1
"REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP",0.758073261953551,1,2,110,483,19437,1
"REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK",0.764998801619512,1,1,58,484,19489,1
"REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21",0.770705284432036,1,1,59,484,19488,1
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_MECP2",0.770705284432036,1,1,59,484,19488,1
"REACTOME_TCR_SIGNALING",0.779053549110401,1,2,115,483,19432,1
"REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION",0.78320384205564,1,3,167,482,19380,1
"REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES",0.785851669478792,1,4,217,481,19330,1
"REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION",0.787008287459886,1,1,62,484,19485,1
"REACTOME_PEROXISOMAL_PROTEIN_IMPORT",0.787008287459886,1,1,62,484,19485,1
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2",0.790863345614906,1,2,118,483,19429,1
"REACTOME_DNA_METHYLATION",0.797229033176242,1,1,64,484,19483,1
"REACTOME_SIGNALING_BY_BRAF_AND_RAF_FUSIONS",0.797229033176242,1,1,64,484,19483,1
"REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY",0.797229033176242,1,1,64,484,19483,1
"REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS",0.798424343910942,1,2,120,483,19427,1
"REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES",0.801906956023956,1,7,366,478,19181,1
"REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE",0.802113383440843,1,2,121,483,19426,1
"REACTOME_FATTY_ACID_METABOLISM",0.802530066401237,1,3,173,482,19374,1
"REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES",0.806960282849348,1,1,66,484,19481,1
"REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY",0.806960282849348,1,1,66,484,19481,1
"REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3",0.806960282849348,1,1,66,484,19481,1
"REACTOME_SARS_COV_2_INFECTION",0.806960282849348,1,1,66,484,19481,1
"REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION",0.811649702474596,1,1,67,484,19480,1
"REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE",0.811649702474596,1,1,67,484,19480,1
"REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION",0.812823484046524,1,2,124,483,19423,1
"REACTOME_SIGNALING_BY_WNT",0.815666153975896,1,6,325,479,19222,1
"REACTOME_CARDIAC_CONDUCTION",0.81627696066473,1,2,125,483,19422,1
"REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME",0.820690226610179,1,1,69,484,19478,1
"REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES",0.825046766039799,1,1,70,484,19477,1
"REACTOME_SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS",0.825046766039799,1,1,70,484,19477,1
"REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION",0.828794688158442,1,3,182,482,19365,1
"REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE",0.829297671228451,1,1,71,484,19476,1
"REACTOME_GLYCOLYSIS",0.829297671228451,1,1,71,484,19476,1
"REACTOME_NERVOUS_SYSTEM_DEVELOPMENT",0.831025001812385,1,11,567,474,18980,1
"REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA",0.833445498355415,1,1,72,484,19475,1
"REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE",0.833445498355415,1,1,72,484,19475,1
"REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES",0.8374927418695,1,1,73,484,19474,1
"REACTOME_RHO_GTPASE_CYCLE",0.840900902085206,1,8,433,477,19114,1
"REACTOME_DEVELOPMENTAL_BIOLOGY",0.843599659009369,1,23,1116,462,18431,1
"REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE",0.845295156092602,1,1,75,484,19472,1
"REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY",0.845295156092602,1,1,75,484,19472,1
"REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION",0.845295156092602,1,1,75,484,19472,1
"REACTOME_SENSORY_PROCESSING_OF_SOUND",0.849055020258522,1,1,76,484,19471,1
"REACTOME_HCMV_EARLY_EVENTS",0.850659217794838,1,2,136,483,19411,1
"REACTOME_GENE_SILENCING_BY_RNA",0.85347572230118,1,2,137,483,19410,1
"REACTOME_CELLULAR_SENESCENCE",0.854413951721908,1,3,192,482,19355,1
"REACTOME_RHO_GTPASES_ACTIVATE_FORMINS",0.856243756280455,1,2,138,483,19409,1
"REACTOME_MEIOTIC_SYNAPSIS",0.856303374302801,1,1,78,484,19469,1
"REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT",0.856303374302801,1,1,78,484,19469,1
"REACTOME_METABOLISM_OF_LIPIDS",0.857188793205225,1,14,723,471,18824,1
"REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE",0.859796225676687,1,1,79,484,19468,1
"REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS",0.859796225676687,1,1,79,484,19468,1
"REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS",0.859796225676687,1,1,79,484,19468,1
"REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA",0.86320434669447,1,1,80,484,19467,1
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES",0.866529788619846,1,1,81,484,19466,1
"REACTOME_SIGNALING_BY_NOTCH4",0.866529788619846,1,1,81,484,19466,1
"REACTOME_SELECTIVE_AUTOPHAGY",0.866529788619846,1,1,81,484,19466,1
"REACTOME_PI_METABOLISM",0.869774553157158,1,1,82,484,19465,1
"REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC",0.872437985427767,1,3,200,482,19347,1
"REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX",0.876029816229136,1,1,84,484,19463,1
"REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY",0.876029816229136,1,1,84,484,19463,1
"REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS",0.879044080987188,1,1,85,484,19462,1
"REACTOME_HIV_LIFE_CYCLE",0.879087034789922,1,2,147,483,19400,1
"REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION",0.879087034789922,1,2,147,483,19400,1
"REACTOME_METABOLISM_OF_STEROIDS",0.881407449035083,1,2,148,483,19399,1
"REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS",0.881985203052826,1,1,86,484,19461,1
"REACTOME_TP53_REGULATES_METABOLIC_GENES",0.881985203052826,1,1,86,484,19461,1
"REACTOME_MEIOTIC_RECOMBINATION",0.881985203052826,1,1,86,484,19461,1
"REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION",0.884854953693056,1,1,87,484,19460,1
"REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE",0.884854953693056,1,1,87,484,19460,1
"REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3",0.886159479025467,1,13,701,472,18846,1
"REACTOME_RAB_GEFS_EXCHANGE_GTP_FOR_GDP_ON_RABS",0.887655061367488,1,1,88,484,19459,1
"REACTOME_SPHINGOLIPID_METABOLISM",0.890387212760797,1,1,89,484,19458,1
"REACTOME_BASE_EXCISION_REPAIR",0.890387212760797,1,1,89,484,19458,1
"REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR",0.895654190589475,1,1,91,484,19456,1
"REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_PHOSPHORYLATION",0.895654190589475,1,1,91,484,19456,1
"REACTOME_CHROMATIN_MODIFYING_ENZYMES",0.89990400652712,1,4,269,481,19278,1
"REACTOME_MITOCHONDRIAL_BIOGENESIS",0.900668582845234,1,1,93,484,19454,1
"REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS",0.900668582845234,1,1,93,484,19454,1
"REACTOME_HDACS_DEACETYLATE_HISTONES",0.900668582845234,1,1,93,484,19454,1
"REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES",0.900668582845234,1,1,93,484,19454,1
"REACTOME_RHO_GTPASES_ACTIVATE_PKNS",0.900668582845234,1,1,93,484,19454,1
"REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION",0.902061176927809,1,28,1403,457,18144,1
"REACTOME_REGULATION_OF_TP53_ACTIVITY",0.902448528989762,1,2,158,483,19389,1
"REACTOME_HCMV_INFECTION",0.906215907374219,1,2,160,483,19387,1
"REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING",0.907742859918908,1,1,96,484,19451,1
"REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION",0.907742859918908,1,1,96,484,19451,1
"REACTOME_PROTEIN_LOCALIZATION",0.909847049655631,1,2,162,483,19385,1
"REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY",0.916399246759648,1,1,100,484,19447,1
"REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT",0.916399246759648,1,1,100,484,19447,1
"REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH",0.918433583487438,1,1,101,484,19446,1
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",0.920418516352896,1,1,102,484,19445,1
"REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION",0.920418516352896,1,1,102,484,19445,1
"REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION",0.926088721210724,1,1,105,484,19442,1
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS",0.92788772603923,1,1,106,484,19441,1
"REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS",0.929010742593202,1,2,174,483,19373,1
"REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION",0.929643031076668,1,1,107,484,19440,1
"REACTOME_DEUBIQUITINATION",0.932548197460078,1,4,294,481,19253,1
"REACTOME_AMYLOID_FIBER_FORMATION",0.933026753651048,1,1,109,484,19438,1
"REACTOME_MITOTIC_SPINDLE_CHECKPOINT",0.93465721366908,1,1,110,484,19437,1
"REACTOME_TELOMERE_MAINTENANCE",0.937800253397234,1,1,112,484,19435,1
"REACTOME_HCMV_LATE_EVENTS",0.942234174596759,1,1,115,484,19432,1
"REACTOME_SELENOAMINO_ACID_METABOLISM",0.945013445502586,1,1,117,484,19430,1
"REACTOME_MEIOSIS",0.946352627933602,1,1,118,484,19429,1
"REACTOME_SEPARATION_OF_SISTER_CHROMATIDS",0.947581658884687,1,2,189,483,19358,1
"REACTOME_RAB_REGULATION_OF_TRAFFICKING",0.948934132928021,1,1,120,484,19427,1
"REACTOME_CYTOPROTECTION_BY_HMOX1",0.952575800089017,1,1,123,484,19424,1
"REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI",0.954967311196472,1,11,690,474,18857,1
"REACTOME_MITOTIC_G2_G2_M_PHASES",0.955493298891213,1,2,197,483,19350,1
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",0.957031375015459,1,1,127,484,19420,1
"REACTOME_MITOTIC_PROMETAPHASE",0.958155071602369,1,2,200,483,19347,1
"REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS",0.959099943423692,1,1,129,484,19418,1
"REACTOME_CHROMOSOME_MAINTENANCE",0.968043922915324,1,1,139,484,19408,1
"REACTOME_HATS_ACETYLATE_HISTONES",0.968823065152709,1,1,140,484,19407,1
"REACTOME_DEATH_RECEPTOR_SIGNALLING",0.968823065152709,1,1,140,484,19407,1
"REACTOME_SIGNALING_BY_ROBO_RECEPTORS",0.96996457861306,1,2,216,483,19331,1
"REACTOME_MITOTIC_PROPHASE",0.970324934309961,1,1,142,484,19405,1
"REACTOME_REPRODUCTION",0.97175459673795,1,1,144,484,19403,1
"REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION",0.97175459673795,1,1,144,484,19403,1
"REACTOME_SARS_COV_INFECTIONS",0.97175459673795,1,1,144,484,19403,1
"REACTOME_AUTOPHAGY",0.975644169181718,1,1,150,484,19397,1
"REACTOME_HIV_INFECTION",0.977128997103154,1,2,229,483,19318,1
"REACTOME_INFECTIOUS_DISEASE",0.978525765888207,1,13,853,472,18694,1
"REACTOME_NEDDYLATION",0.978530808274106,1,2,232,483,19315,1
"REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE",0.979418784354329,1,2,234,483,19313,1
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1",0.980271166331133,1,2,236,483,19311,1
"REACTOME_S_PHASE",0.981439642087842,1,1,161,484,19386,1
"REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION",0.982382579650749,1,4,373,481,19174,1
"REACTOME_CELL_CYCLE_MITOTIC",0.98354438215086,1,7,553,478,18994,1
"REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",0.98550423588565,1,1,171,484,19376,1
"REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION",0.985748134067226,1,22,1338,463,18209,1
"REACTOME_ADAPTIVE_IMMUNE_SYSTEM",0.989090960745513,1,10,747,475,18800,1
"REACTOME_SUMOYLATION",0.98974664922451,1,1,185,484,19362,1
"REACTOME_M_PHASE",0.991301530653857,1,4,412,481,19135,1
"REACTOME_CILIUM_ASSEMBLY",0.992190226623748,1,1,196,484,19351,1
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53",0.993438122886938,1,3,360,482,19187,1
"REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE",0.993687376133009,1,2,289,483,19258,1
"REACTOME_PHOSPHOLIPID_METABOLISM",0.99433982907298,1,1,209,484,19338,1
"REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION",0.995648968313408,1,2,306,483,19241,1
"REACTOME_CELL_CYCLE",0.998046265940196,1,7,685,478,18862,1
"REACTOME_CELL_CYCLE_CHECKPOINTS",0.99926071351085,1,1,291,484,19256,1
"REACTOME_SENSORY_PERCEPTION",0.999513210410673,1,4,561,481,18986,1
"REACTOME_DNA_REPAIR",0.999720063063554,1,1,330,484,19217,1
"REACTOME_OLFACTORY_SIGNALING_PATHWAY",0.999935817778713,1,1,389,484,19158,1
"REACTOME_METABOLISM_OF_RNA",0.999999942976195,1,1,668,484,18879,1
"REACTOME_INTERLEUKIN_6_SIGNALING",1,1,0,11,485,19536,1
"REACTOME_MAPK3_ERK1_ACTIVATION",1,1,0,10,485,19537,1
"REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE",1,1,0,39,485,19508,1
"REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX",1,1,0,30,485,19517,1
"REACTOME_TRANSLESION_SYNTHESIS_BY_POLH",1,1,0,19,485,19528,1
"REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1",1,1,0,9,485,19538,1
"REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR",1,1,0,7,485,19540,1
"REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY",1,1,0,24,485,19523,1
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",1,1,0,15,485,19532,1
"REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA",1,1,0,5,485,19542,1
"REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS",1,1,0,9,485,19538,1
"REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA",1,1,0,7,485,19540,1
"REACTOME_FORMATION_OF_APOPTOSOME",1,1,0,11,485,19536,1
"REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE",1,1,0,6,485,19541,1
"REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE",1,1,0,13,485,19534,1
"REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE",1,1,0,8,485,19539,1
"REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE",1,1,0,20,485,19527,1
"REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB",1,1,0,20,485,19527,1
"REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB",1,1,0,10,485,19537,1
"REACTOME_ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS",1,1,0,5,485,19542,1
"REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING",1,1,0,11,485,19536,1
"REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX",1,1,0,58,485,19489,1
"REACTOME_IRS_MEDIATED_SIGNALLING",1,1,0,48,485,19499,1
"REACTOME_MAPK1_ERK2_ACTIVATION",1,1,0,9,485,19538,1
"REACTOME_SOS_MEDIATED_SIGNALLING",1,1,0,7,485,19540,1
"REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX",1,1,0,33,485,19514,1
"REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1",1,1,0,13,485,19534,1
"REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION",1,1,0,9,485,19538,1
"REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION",1,1,0,22,485,19525,1
"REACTOME_DISINHIBITION_OF_SNARE_FORMATION",1,1,0,5,485,19542,1
"REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE",1,1,0,35,485,19512,1
"REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR",1,1,0,81,485,19466,1
"REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS",1,1,0,5,485,19542,1
"REACTOME_PROLACTIN_RECEPTOR_SIGNALING",1,1,0,15,485,19532,1
"REACTOME_SIGNALING_BY_NODAL",1,1,0,20,485,19527,1
"REACTOME_FERTILIZATION",1,1,0,26,485,19521,1
"REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES",1,1,0,36,485,19511,1
"REACTOME_SIGNALING_BY_FGFR_IN_DISEASE",1,1,0,62,485,19485,1
"REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR",1,1,0,10,485,19537,1
"REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA",1,1,0,74,485,19473,1
"REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS",1,1,0,19,485,19528,1
"REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY",1,1,0,11,485,19536,1
"REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES",1,1,0,50,485,19497,1
"REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN",1,1,0,13,485,19534,1
"REACTOME_METHIONINE_SALVAGE_PATHWAY",1,1,0,6,485,19541,1
"REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE",1,1,0,9,485,19538,1
"REACTOME_DOWNREGULATION_OF_ERBB4_SIGNALING",1,1,0,9,485,19538,1
"REACTOME_INTERLEUKIN_7_SIGNALING",1,1,0,36,485,19511,1
"REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT",1,1,0,65,485,19482,1
"REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING",1,1,0,16,485,19531,1
"REACTOME_CA2_ACTIVATED_K_CHANNELS",1,1,0,9,485,19538,1
"REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS",1,1,0,12,485,19535,1
"REACTOME_SPERM_MOTILITY_AND_TAXES",1,1,0,9,485,19538,1
"REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING",1,1,0,6,485,19541,1
"REACTOME_GRB7_EVENTS_IN_ERBB2_SIGNALING",1,1,0,5,485,19542,1
"REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING",1,1,0,13,485,19534,1
"REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX",1,1,0,19,485,19528,1
"REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1",1,1,0,16,485,19531,1
"REACTOME_MITOCHONDRIAL_IRON_SULFUR_CLUSTER_BIOGENESIS",1,1,0,13,485,19534,1
"REACTOME_RORA_ACTIVATES_GENE_EXPRESSION",1,1,0,18,485,19529,1
"REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS",1,1,0,18,485,19529,1
"REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS",1,1,0,16,485,19531,1
"REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION",1,1,0,13,485,19534,1
